Date,Open,High,Low,Close,Adj Close,Volume
1970-01-23,5.939503,5.959535,5.839343,5.849359,1.207645,476736
1970-01-26,5.849359,5.859375,5.829327,5.849359,1.207645,283296
1970-01-27,5.849359,5.959535,5.849359,5.939503,1.226255,247104
1970-01-28,5.939503,6.009615,5.939503,5.939503,1.226255,545376
1970-01-29,5.939503,5.989583,5.879407,5.879407,1.213848,466752
1970-01-30,5.879407,5.919471,5.799279,5.799279,1.197305,455520
1970-02-02,5.819311,5.919471,5.819311,5.859375,1.209712,1181856
1970-02-03,5.859375,5.889423,5.769231,5.819311,1.201441,657696
1970-02-04,5.819311,5.849359,5.679087,5.819311,1.201441,743808
1970-02-05,5.699119,5.699119,5.538862,5.598958,1.155947,773760
1970-02-06,5.598958,5.669071,5.558894,5.618990,1.160083,260832
1970-02-09,5.618990,5.789263,5.618990,5.618990,1.160083,717600
1970-02-10,5.618990,5.629006,5.528846,5.528846,1.141473,464256
1970-02-11,5.528846,5.679087,5.528846,5.639022,1.164218,449280
1970-02-12,5.618990,5.618990,5.558894,5.608974,1.158016,205920
1970-02-13,5.598958,5.598958,5.468750,5.518830,1.139405,505440
1970-02-16,5.528846,5.598958,5.528846,5.558894,1.147676,501696
1970-02-17,5.528846,5.528846,5.438702,5.498798,1.135268,351936
1970-02-18,5.498798,5.588942,5.498798,5.568910,1.149743,521664
1970-02-19,5.568910,5.629006,5.568910,5.568910,1.149743,534144
1970-02-20,5.568910,5.618990,5.498798,5.498798,1.135268,384384
1970-02-24,5.498798,5.548878,5.488782,5.518830,1.139405,425568
1970-02-25,5.518830,5.598958,5.488782,5.538862,1.143540,433056
1970-02-26,5.538862,5.558894,5.418670,5.508814,1.137336,569088
1970-02-27,5.508814,5.699119,5.508814,5.649038,1.166287,735072
1970-03-02,5.679087,5.789263,5.679087,5.749199,1.186966,425568
1970-03-03,5.749199,5.949519,5.669071,5.929487,1.235380,742560
1970-03-04,5.929487,6.009615,5.929487,5.969551,1.243726,620256
1970-03-05,5.969551,6.039663,5.969551,5.989583,1.247899,550368
1970-03-06,5.989583,6.019631,5.939503,5.959535,1.241639,386880
1970-03-09,5.959535,5.999599,5.859375,5.909455,1.231206,594048
1970-03-10,5.909455,5.929487,5.869391,5.889423,1.227032,308256
1970-03-11,5.889423,5.929487,5.759215,5.759215,1.199903,562848
1970-03-12,5.759215,5.779247,5.709135,5.719151,1.191557,672672
1970-03-13,5.709135,5.709135,5.608974,5.629006,1.172775,520416
1970-03-16,5.629006,5.659054,5.538862,5.538862,1.153994,596544
1970-03-17,5.538862,5.649038,5.528846,5.629006,1.172775,413088
1970-03-18,5.629006,5.649038,5.598958,5.629006,1.172775,326976
1970-03-19,5.629006,5.669071,5.598958,5.618990,1.170689,391872
1970-03-20,5.618990,5.618990,5.578926,5.598958,1.166514,454272
1970-03-23,5.598958,5.699119,5.588942,5.679087,1.183209,530400
1970-03-24,5.699119,5.799279,5.699119,5.749199,1.197817,586560
1970-03-25,5.799279,6.079728,5.799279,5.919471,1.233292,1078272
1970-03-26,5.919471,6.059696,5.909455,5.939503,1.237466,1096992
1970-03-30,5.929487,5.929487,5.849359,5.889423,1.227032,391872
1970-03-31,5.889423,5.929487,5.859375,5.909455,1.231206,391872
1970-04-01,5.919471,5.999599,5.919471,5.969551,1.243726,658944
1970-04-02,5.969551,5.989583,5.919471,5.969551,1.243726,356928
1970-04-03,5.969551,6.009615,5.949519,5.949519,1.239552,494208
1970-04-06,5.949519,5.999599,5.929487,5.969551,1.243726,242112
1970-04-07,5.989583,6.069712,5.989583,6.029647,1.256246,374400
1970-04-08,6.029647,6.079728,5.999599,6.019631,1.254159,592800
1970-04-09,6.019631,6.119792,6.019631,6.079728,1.266681,672672
1970-04-10,6.079728,6.119792,6.009615,6.119792,1.275029,471744
1970-04-13,6.119792,6.169872,6.069712,6.099760,1.270855,328224
1970-04-14,6.099760,6.099760,5.969551,5.979567,1.245813,595296
1970-04-15,5.979567,6.039663,5.969551,6.009615,1.252073,350688
1970-04-16,6.009615,6.059696,5.969551,6.029647,1.256246,599040
1970-04-17,6.029647,6.069712,5.959535,6.069712,1.264593,390624
1970-04-20,6.069712,6.089744,5.969551,6.059696,1.262508,302016
1970-04-21,6.059696,6.129808,6.029647,6.089744,1.268767,240864
1970-04-22,6.079728,6.079728,5.929487,5.949519,1.239552,398112
1970-04-23,5.919471,5.919471,5.849359,5.869391,1.222858,619008
1970-04-24,5.839343,5.839343,5.769231,5.809295,1.210338,476736
1970-04-27,5.809295,5.809295,5.629006,5.659054,1.179035,697632
1970-04-28,5.659054,5.729167,5.578926,5.578926,1.162342,404352
1970-04-29,5.578926,5.719151,5.578926,5.719151,1.191557,491712
1970-04-30,5.719151,5.769231,5.608974,5.709135,1.189469,555360
1970-05-01,5.709135,5.729167,5.608974,5.719151,1.191557,355680
1970-05-04,5.719151,5.739183,5.468750,5.528846,1.151908,698880
1970-05-05,5.528846,5.568910,5.448718,5.458734,1.137300,313248
1970-05-06,5.478766,5.639022,5.478766,5.548878,1.156081,451776
1970-05-07,5.568910,5.669071,5.568910,5.618990,1.170689,227136
1970-05-08,5.618990,5.618990,5.498798,5.548878,1.156081,328224
1970-05-11,5.558894,5.629006,5.558894,5.558894,1.158168,313248
1970-05-12,5.538862,5.538862,5.448718,5.488782,1.143561,383136
1970-05-13,5.478766,5.478766,5.328526,5.328526,1.110171,360672
1970-05-14,5.328526,5.328526,5.188301,5.258413,1.095564,651456
1970-05-15,5.258413,5.358574,5.178285,5.338542,1.112259,606528
1970-05-18,5.368590,5.468750,5.368590,5.398638,1.124778,594048
1970-05-19,5.398638,5.408654,5.368590,5.368590,1.118519,202176
1970-05-20,5.368590,5.378606,5.128205,5.148237,1.072610,391872
1970-05-21,5.148237,5.168269,5.008013,5.088141,1.060089,509184
1970-05-22,5.088141,5.218349,5.008013,5.108173,1.064263,378144
1970-05-25,5.048077,5.048077,4.937901,4.947917,1.030874,677664
1970-05-26,4.947917,4.967949,4.847756,4.847756,1.010005,527904
1970-05-27,4.847756,5.078125,4.827724,5.038061,1.049655,685152
1970-05-28,5.058093,5.198317,5.058093,5.118189,1.066350,544128
1970-05-29,5.118189,5.348558,5.048077,5.318510,1.108085,751296
1970-06-01,5.318510,5.418670,5.318510,5.388622,1.122692,559104
1970-06-02,5.388622,5.408654,5.308494,5.368590,1.118519,789984
1970-06-03,5.368590,5.478766,5.348558,5.458734,1.137300,685152
1970-06-04,5.458734,5.488782,5.418670,5.418670,1.128953,403104
1970-06-05,5.418670,5.418670,5.338542,5.338542,1.112259,461760
1970-06-08,5.338542,5.428686,5.328526,5.398638,1.124778,411840
1970-06-09,5.398638,5.418670,5.388622,5.388622,1.122692,371904
1970-06-10,5.388622,5.388622,5.328526,5.328526,1.110171,331968
1970-06-11,5.318510,5.318510,5.238381,5.298478,1.114809,263328
1970-06-12,5.278446,5.278446,5.208333,5.278446,1.110593,328224
1970-06-15,5.278446,5.348558,5.268429,5.278446,1.110593,184704
1970-06-16,5.278446,5.418670,5.268429,5.408654,1.137990,380640
1970-06-17,5.408654,5.508814,5.388622,5.398638,1.135881,410592
1970-06-18,5.398638,5.518830,5.378606,5.488782,1.154849,341952
1970-06-19,5.548878,5.689103,5.548878,5.588942,1.175923,934752
1970-06-22,5.588942,5.659054,5.538862,5.639022,1.186459,409344
